Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-156.996,-48.407,1,0.866781,11,1.48405,0.985823,0.950086
A1,-156.551,-42.927,1,0.857731,8,1.9796,1.3272,1.38644
A1,-148.938,-40.558,1,0.855647,14,2.52448,2.14712,2.09167
A1,-149.570,-37.578,1,0.8619,6,2.0211,1.03907,1.00377
A1,-152.798,-49.856,1,0.848157,17,2.0048,1.10268,1.12948
A1,-153.794,-47.005,1,0.878233,22,2.36284,1.29925,1.28365
A1,-153.699,-36.472,1,0.853431,8,2.84811,2.56665,2.55762
A1,-152.356,-33.430,1,0.83975,14,3.51704,1.67917,1.45527
A1,-147.643,-39.159,1,0.851324,7,2.44316,1.68108,1.51673
A1,-143.097,-40.908,1,0.861477,10,1.81589,1.69202,1.52605
A1,-155.958,-45.723,1,0.865621,12,1.36432,1.01223,1.00422
A1,-157.309,-45.029,1,0.868694,21,2.58834,1.84613,1.77714
A1,-156.289,-49.728,1,0.844831,15,2.7394,1.32907,1.35453
A1,-153.506,-31.229,1,0.866455,10,5.5579,4.73791,4.61985
A1,-157.560,-39.138,1,0.844205,11,2.36489,1.84902,1.60225
A1,-149.019,-38.372,1,0.867073,12,2.72955,1.48984,1.45079
A1,-146.224,-45.699,0,0.856782,13,2.09636,1.14153,1.14013
A1,-132.147,-27.760,1,0.852434,18,8.28236,7.7712,7.60398
A1,-152.161,-43.947,1,0.832701,12,1.40823,1.05051,1.01899
A1,-163.441,-43.531,1,0.847769,9,2.27675,1.75343,1.61049
A1,-150.567,-48.991,1,0.831743,21,2.33283,1.05703,1.08881
A1,-155.915,-47.031,1,0.855573,13,2.54111,1.04743,1.08462
A1,-154.345,-33.466,1,0.846358,7,2.90094,2.22514,2.30213
A1,-148.318,-43.081,1,0.848677,17,1.4432,0.957258,0.98839
A1,-157.210,-20.009,1,0.821147,13,7.12058,5.99463,5.92745
A1,-158.286,-33.848,1,0.84793,10,1.76317,1.1319,1.06444
A1,-153.836,-38.848,1,0.858624,7,1.79559,1.40154,1.33294
A1,-162.730,-41.513,1,0.865137,11,2.09315,1.60202,1.54614
A1,-156.512,-46.418,0,0.845467,18,1.98639,0.845566,0.841332
A1,-153.974,-45.557,1,0.871485,13,1.59295,0.793014,0.783439
A1,-153.427,-44.023,1,0.847315,17,2.18479,1.41554,1.30685
A1,-155.615,-34.513,1,0.831077,13,1.63052,1.64798,1.39544
A1,-138.549,-30.998,1,0.875393,18,2.42471,1.73911,1.3538
A1,-159.364,-51.604,1,0.900906,13,1.67068,0.990898,0.968339
A1,-154.868,-17.098,1,0.852941,11,2.00372,0.905945,0.876894
A1,-152.510,-40.622,1,0.823411,13,3.49785,1.54693,1.26821
A1,-159.377,-43.414,1,0.833325,12,2.66457,0.985186,0.981383
A1,-164.838,-35.911,1,0.878585,8,3.2695,2.67687,2.69327
A1,-156.731,-42.428,1,0.856799,9,1.35675,0.821584,0.816669
A1,-153.246,-47.377,1,0.847996,16,2.51947,1.13363,1.10622
A1,-161.479,-35.222,0,0.832523,6,2.36952,1.69984,1.4693
A1,-153.302,-39.205,1,0.874788,19,1.32563,1.08034,1.07462
A1,-159.965,-31.564,1,0.814365,7,3.28147,2.86377,2.4557
